Codice Regione,Codice Provincia,Codice Comune,regione,Provincia,Comune,Codice ISTAT,Latitude,Longitude
ITC3,ITC34,011017,,,Levanto,011017,44.1699056,9.6120397
ITC3,ITC34,011018,,,Maissana,011018,44.3373132,9.5363278
ITC3,ITC34,011019,,,Monterosso Al Mare,011019,44.1465216,9.6555583
ITC3,ITC34,011020,,,Ortonovo,011020,44.0890935,10.0539817
ITC3,ITC34,011021,,,Pignone,011021,44.1781487,9.7234963
ITC3,ITC34,011022,,,Portovenere,011022,44.0506605,9.8344585
ITC3,ITC34,011023,,,Ricco' Del Golfo Di Spezia,011023,44.1537194,9.7638623
ITC3,ITC34,011025,,,Rocchetta Di Vara,011025,44.251273,9.7572844
ITC3,ITC34,011026,,,Santo Stefano Di Magra,011026,44.1650993,9.9173304
ITC3,ITC34,011027,,,Sarzana,011027,44.1131762,9.9599823
ITC3,ITC34,011028,,,Sesta Godano,011028,44.2939663,9.675716
ITC3,ITC34,011029,,,Varese Ligure,011029,44.3760527,9.5926994
ITC3,ITC34,011030,,,Vernazza,011030,44.1349412,9.6827757
ITC3,ITC34,011031,,,Vezzano Ligure,011031,44.14677475,9.87632698298859
ITC3,ITC34,011032,,,Zignago,011032,44.2972458,9.749064
ITC3,ITC31,,,Imperia,,ITC31,,
ITC3,ITC32,,,Savona,,ITC32,,
ITC3,ITC33,,,Genova,,ITC33,,
ITC3,ITC34,,,La Spezia,,ITC34,,
ITC3,,,Liguria,,,ITC3,,
