DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2019,40926,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2020,18753,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2021,22749,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2022,36776,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2023,29984,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2016,126624,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2017,139728,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2018,147105,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2019,151346,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2020,84073,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2021,105942,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2022,124315,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2,2023,110161,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2016,9708,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2017,10825,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2018,14432,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2019,12068,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2020,4778,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2021,5218,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2022,8004,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2B,2023,6161,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2016,116916,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2017,128902,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2018,132673,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2019,139278,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2020,79295,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2021,100724,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2022,116311,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,2D2,2023,104000,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2016,283832,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2017,294342,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2018,331217,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2019,321914,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2020,182849,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2021,228052,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2022,281439,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,99,2023,254341,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2016,126448,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2017,123107,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2018,148977,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2019,140658,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2020,81880,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2021,106062,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2022,131059,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1,2023,119574,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOLL,9,9,Y_GE15,1A_OTH,2016,14583,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
